signal,domain,mode,buffer_size,overload,trial,snr_db,mse,max_wait_ms,deriv_ratio,drops,rpeak_f1,rpeak_precision,rpeak_recall,rpeak_timing_ms,spectral_correlation
ecg_105,ecg,RANDOM_DROP,256,6,0,18.3278,2.182658e-03,0.0020,0.8160,1246,0.9333,1.0000,0.8750,3.5714,-1.0000
ecg_105,ecg,DROP_MIDDLE,256,6,0,26.8648,3.056889e-04,0.0010,0.8199,1246,0.9333,1.0000,0.8750,4.7619,-1.0000
ecg_105,ecg,DROP_LOW_VARIANCE,256,6,0,27.7535,2.491197e-04,0.0217,0.7691,1244,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,ADAPTIVE,256,6,0,30.6305,1.284434e-04,0.2252,0.8706,1107,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,LEGACY_IMPORTANCE,256,6,0,30.1223,1.443872e-04,0.0025,0.8420,1245,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_FIRST_ORDER,256,6,0,30.1554,1.432929e-04,0.0237,0.8432,1244,0.9333,1.0000,0.8750,1.9841,-1.0000
ecg_105,ecg,IMP_WINDOWED_ENERGY,256,6,0,28.2147,2.240227e-04,0.0240,0.8023,1238,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_COMPOSITE,256,6,0,31.2634,1.110251e-04,0.0301,0.8297,1235,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,IMP_ADAPTIVE,256,6,0,30.9181,1.202139e-04,0.0158,0.8201,1233,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,DROP,256,6,1,26.9169,3.020430e-04,0.0022,0.8261,1246,0.9333,1.0000,0.8750,3.1746,-1.0000
ecg_105,ecg,RANDOM_DROP,256,6,1,15.2023,4.482593e-03,0.0020,0.7831,1246,0.9333,1.0000,0.8750,4.7619,-1.0000
ecg_105,ecg,DROP_MIDDLE,256,6,1,27.3098,2.759198e-04,0.0214,0.8276,1247,0.9333,1.0000,0.8750,2.7778,-1.0000
ecg_105,ecg,DROP_LOW_VARIANCE,256,6,1,27.7163,2.512666e-04,0.0039,0.7703,1244,0.9333,1.0000,0.8750,1.5873,-1.0000
ecg_105,ecg,ADAPTIVE,256,6,1,30.6445,1.280309e-04,0.2209,0.8651,1107,0.9333,1.0000,0.8750,1.9841,-1.0000
