record,method,buffer_size,overload,retained,CR,snr_db,f1,f1_baseline
109,FIFO,64,5,2063,4.847,26.4395,0.9888,0.9888
109,IE,64,10,1063,9.407,29.1724,0.9888,0.9888
109,SDT,64,10,1059,9.443,28.5068,0.9888,0.9888
109,FIFO,64,10,1063,9.407,18.7081,0.9888,0.9888
109,IE,64,20,563,17.762,20.8538,0.9888,0.9888
109,SDT,64,20,565,17.699,20.9955,0.9888,0.9888
109,FIFO,64,20,563,17.762,10.238,0.9888,0.9888
109,IE,64,50,263,38.023,7.7417,0.9535,0.9888
109,SDT,64,50,264,37.879,12.1345,0.9888,0.9888
109,FIFO,64,50,263,38.023,2.7377,0.6761,0.9888
109,IE,128,5,2127,4.701,34.6662,0.9888,0.9888
109,SDT,128,5,2128,4.699,33.9245,0.9888,0.9888
109,FIFO,128,5,2127,4.701,26.5382,0.9888,0.9888
109,IE,128,10,1127,8.873,29.6516,0.9888,0.9888
109,SDT,128,10,1119,8.937,28.9796,0.9888,0.9888
109,FIFO,128,10,1127,8.873,19.0053,0.9888,0.9888
109,IE,128,20,627,15.949,21.4675,0.9888,0.9888
109,SDT,128,20,627,15.949,22.7535,0.9888,0.9888
109,FIFO,128,20,627,15.949,10.0146,0.9888,0.9888
109,IE,128,50,327,30.581,9.6435,0.9888,0.9888
109,SDT,128,50,328,30.488,14.4643,0.9888,0.9888
109,FIFO,128,50,327,30.581,3.2723,0.6933,0.9888
109,IE,256,5,2255,4.435,34.9843,0.9888,0.9888
109,SDT,256,5,2200,4.545,34.1825,0.9888,0.9888
109,FIFO,256,5,2255,4.435,27.1893,0.9888,0.9888
109,IE,256,10,1255,7.968,30.2108,0.9888,0.9888
109,SDT,256,10,1268,7.886,30.2024,0.9888,0.9888
109,FIFO,256,10,1255,7.968,18.8032,0.9888,0.9888
109,IE,256,20,755,13.245,22.9013,0.9888,0.9888
109,SDT,256,20,755,13.245,25.0996,0.9888,0.9888
109,FIFO,256,20,755,13.245,10.3636,0.9773,0.9888
109,IE,256,50,455,21.978,14.0097,0.9888,0.9888
109,SDT,256,50,455,21.978,17.8478,0.9888,0.9888
109,FIFO,256,50,455,21.978,3.0742,0.642,0.9888
109,IE,512,5,2511,3.982,35.69,0.9888,0.9888
109,SDT,512,5,2510,3.984,35.0394,0.9888,0.9888
109,FIFO,512,5,2511,3.982,27.1304,0.9888,0.9888
109,IE,512,10,1511,6.618,31.2241,0.9888,0.9888
109,SDT,512,10,1509,6.627,31.7317,0.9888,0.9888
109,FIFO,512,10,1511,6.618,19.1734,0.9888,0.9888
109,IE,512,20,1011,9.891,26.1511,0.9888,0.9888
109,SDT,512,20,1011,9.891,28.1916,0.9888,0.9888
109,FIFO,512,20,1011,9.891,10.0951,0.9655,0.9888
109,IE,512,50,711,14.065,18.538,0.9888,0.9888
109,SDT,512,50,712,14.045,24.3771,0.9888,0.9888
109,FIFO,512,50,711,14.065,2.9833,0.7297,0.9888
112,IE,32,5,2031,4.924,42.1081,0.9877,0.9756
112,SDT,32,5,2027,4.933,40.6515,0.9877,0.9756
112,FIFO,32,5,2031,4.924,31.708,0.9877,0.9756
112,IE,32,10,1031,9.699,36.2471,0.9756,0.9756
112,SDT,32,10,1032,9.69,35.2973,0.9877,0.9756
112,FIFO,32,10,1031,9.699,22.9421,0.9877,0.9756
112,IE,32,20,531,18.832,31.2833,0.9877,0.9756
112,SDT,32,20,532,18.797,30.0518,0.9877,0.9756
112,FIFO,32,20,531,18.832,16.6532,0.7568,0.9756
112,IE,32,50,231,43.29,17.0865,0.9877,0.9756
112,SDT,32,50,231,43.29,19.1703,0.9877,0.9756
112,FIFO,32,50,231,43.29,13.4964,0.4722,0.9756
112,IE,64,5,2063,4.847,42.5485,0.9756,0.9756
112,SDT,64,5,2072,4.826,40.921,0.9877,0.9756
112,FIFO,64,5,2063,4.847,31.8647,0.9877,0.9756
112,IE,64,10,1063,9.407,36.2632,0.9756,0.9756
112,SDT,64,10,1112,8.993,35.8714,0.9756,0.9756
112,FIFO,64,10,1063,9.407,22.283,0.9877,0.9756
112,IE,64,20,563,17.762,31.3921,0.9756,0.9756
112,SDT,64,20,563,17.762,30.4974,0.9877,0.9756
112,FIFO,64,20,563,17.762,16.7713,0.747,0.9756
112,IE,64,50,263,38.023,18.0265,0.9877,0.9756
112,SDT,64,50,263,38.023,20.2423,0.9877,0.9756
112,FIFO,64,50,263,38.023,14.537,0.4198,0.9756
112,IE,128,5,2127,4.701,42.8228,0.9756,0.9756
112,SDT,128,5,2125,4.706,41.5126,0.9756,0.9756
112,FIFO,128,5,2127,4.701,31.9302,0.9877,0.9756
112,IE,128,10,1127,8.873,36.5338,0.9756,0.9756
112,SDT,128,10,1126,8.881,36.0026,0.9756,0.9756
112,FIFO,128,10,1127,8.873,22.5479,0.9877,0.9756
112,IE,128,20,627,15.949,31.8447,0.9877,0.9756
112,SDT,128,20,627,15.949,31.6426,0.9877,0.9756
112,FIFO,128,20,627,15.949,16.6761,0.8193,0.9756
112,IE,128,50,327,30.581,22.3967,0.9877,0.9756
112,SDT,128,50,327,30.581,22.741,0.9877,0.9756
112,FIFO,128,50,327,30.581,13.6706,0.575,0.9756
112,IE,256,5,2255,4.435,43.1158,0.9877,0.9756
112,SDT,256,5,2129,4.697,41.5535,0.9756,0.9756
112,FIFO,256,5,2255,4.435,31.7696,0.9756,0.9756
112,IE,256,10,1255,7.968,36.9222,0.9756,0.9756
112,SDT,256,10,1258,7.949,36.5783,0.9756,0.9756
112,FIFO,256,10,1255,7.968,22.035,0.9877,0.9756
112,IE,256,20,755,13.245,32.5061,0.9877,0.9756
112,SDT,256,20,757,13.21,33.5156,0.9756,0.9756
112,FIFO,256,20,755,13.245,17.1292,0.7654,0.9756
112,IE,256,50,455,21.978,25.1996,0.9756,0.9756
112,SDT,256,50,463,21.598,28.0804,0.9877,0.9756
112,FIFO,256,50,455,21.978,13.9911,0.359,0.9756
112,IE,512,5,2511,3.982,43.8502,0.9756,0.9756
112,SDT,512,5,2532,3.949,43.3569,0.9756,0.9756
112,FIFO,512,5,2511,3.982,32.0905,0.9756,0.9756
112,IE,512,10,1511,6.618,37.9385,0.9877,0.9756
112,SDT,512,10,1506,6.64,37.8867,0.9877,0.9756
112,FIFO,512,10,1511,6.618,23.1303,0.9877,0.9756
112,IE,512,20,1011,9.891,34.5063,0.9756,0.9756
112,SDT,512,20,1011,9.891,35.289,0.9877,0.9756
112,FIFO,512,20,1011,9.891,17.0165,0.7895,0.9756
112,IE,512,50,711,14.065,27.2524,0.9877,0.9756
112,SDT,512,50,712,14.045,32.7926,0.9877,0.9756
112,FIFO,512,50,711,14.065,14.7094,0.3902,0.9756
115,IE,32,5,2031,4.924,36.9994,0.9831,0.9831
115,SDT,32,5,2032,4.921,36.1342,0.9831,0.9831
115,FIFO,32,5,2031,4.924,18.1954,0.9831,0.9831
115,IE,32,10,1031,9.699,31.8923,0.9831,0.9831
115,SDT,32,10,1035,9.662,31.5059,0.9831,0.9831
115,FIFO,32,10,1031,9.699,10.0272,0.9831,0.9831
115,IE,32,20,531,18.832,25.2142,0.9831,0.9831
115,SDT,32,20,532,18.797,22.6444,0.9831,0.9831
115,FIFO,32,20,531,18.832,5.4172,0.8235,0.9831
115,IE,32,50,231,43.29,13.1995,0.9831,0.9831
115,SDT,32,50,230,43.478,14.2471,0.9831,0.9831
115,FIFO,32,50,231,43.29,4.2438,0.4103,0.9831
115,IE,64,5,2063,4.847,37.9395,0.9831,0.9831
115,SDT,64,5,2095,4.773,36.4958,0.9831,0.9831
115,FIFO,64,5,2063,4.847,18.0578,0.9831,0.9831
115,IE,64,10,1063,9.407,32.388,0.9831,0.9831
115,SDT,64,10,1067,9.372,31.6955,0.9831,0.9831
115,FIFO,64,10,1063,9.407,9.5384,0.9091,0.9831
115,IE,64,20,563,17.762,25.3661,0.9831,0.9831
115,SDT,64,20,565,17.699,23.6652,0.9831,0.9831
115,FIFO,64,20,563,17.762,6.2517,0.8235,0.9831
115,IE,64,50,263,38.023,13.4572,0.9831,0.9831
115,SDT,64,50,264,37.879,16.2537,0.9831,0.9831
115,FIFO,64,50,263,38.023,4.5495,0.4898,0.9831
115,IE,128,5,2127,4.701,38.2307,0.9831,0.9831
115,SDT,128,5,2126,4.704,36.6989,0.9831,0.9831
115,FIFO,128,5,2127,4.701,18.1599,0.9831,0.9831
115,IE,128,10,1127,8.873,32.3602,0.9831,0.9831
115,SDT,128,10,1123,8.905,32.0143,0.9831,0.9831
115,FIFO,128,10,1127,8.873,9.0439,0.8679,0.9831
115,IE,128,20,627,15.949,26.1594,0.9831,0.9831
115,SDT,128,20,626,15.974,25.3646,0.9831,0.9831
115,FIFO,128,20,627,15.949,6.0586,0.6522,0.9831
115,IE,128,50,327,30.581,15.0004,0.9831,0.9831
115,SDT,128,50,329,30.395,17.98,0.9831,0.9831
115,FIFO,128,50,327,30.581,4.7714,0.5,0.9831
115,IE,256,5,2255,4.435,38.5904,0.9831,0.9831
115,SDT,256,5,2265,4.415,37.4899,0.9831,0.9831
115,FIFO,256,5,2255,4.435,18.1922,0.9831,0.9831
115,IE,256,10,1255,7.968,32.9104,0.9831,0.9831
115,SDT,256,10,1256,7.962,32.6201,0.9831,0.9831
115,FIFO,256,10,1255,7.968,9.1075,0.9655,0.9831
115,IE,256,20,755,13.245,27.6097,0.9831,0.9831
115,SDT,256,20,752,13.298,28.5873,0.9831,0.9831
115,FIFO,256,20,755,13.245,6.0733,0.8679,0.9831
115,IE,256,50,455,21.978,20.4446,0.9831,0.9831
115,SDT,256,50,455,21.978,20.618,0.9831,0.9831
115,FIFO,256,50,455,21.978,5.3695,0.5672,0.9831
115,IE,512,5,2511,3.982,39.2726,0.9831,0.9831
115,SDT,512,5,2353,4.25,38.111,0.9831,0.9831
115,FIFO,512,5,2511,3.982,18.5118,0.9831,0.9831
