signal,condition,load,diameter,mode,buffer_size,overload,retained,CR,f_nominal,f_orig,f_recon,freq_error_hz,amp_error_pct,pnr_db,pnr_orig_db,diagnosable
IR007_2,inner_race,2,0.007,VW,256,10,1455,8.247,157.763,157.0,157.0,0.0,62.812,23.317,33.82,1
IR007_2,inner_race,2,0.007,DROP,256,10,1455,8.247,157.763,157.0,157.0,0.0,98.844,21.438,33.82,1
IR007_2,inner_race,2,0.007,IE_ORACLE,256,10,1455,8.247,157.763,157.0,157.0,0.0,0.768,31.676,33.82,1
IR007_2,inner_race,2,0.007,LTTB,256,10,1455,8.247,157.763,157.0,157.0,0.0,85.823,22.16,33.82,1
IR007_2,inner_race,2,0.007,SDT,256,10,1454,8.253,157.763,157.0,157.0,0.0,19.265,30.638,33.82,1
IR007_2,inner_race,2,0.007,SDT_BOUNDED,256,10,1446,8.299,157.763,157.0,157.0,0.0,19.706,30.601,33.82,1
IR007_2,inner_race,2,0.007,IE,256,20,855,14.035,157.763,157.0,157.0,0.0,34.002,29.059,33.82,1
IR007_2,inner_race,2,0.007,VW,256,20,855,14.035,157.763,157.0,157.0,0.0,89.004,18.832,33.82,1
IR007_2,inner_race,2,0.007,DROP,256,20,855,14.035,157.763,157.0,158.0,1.0,99.474,19.487,33.82,1
IR007_2,inner_race,2,0.007,IE_ORACLE,256,20,855,14.035,157.763,157.0,157.0,0.0,23.535,29.923,33.82,1
IR007_2,inner_race,2,0.007,LTTB,256,20,855,14.035,157.763,157.0,157.0,0.0,90.473,20.03,33.82,1
