record,method,buffer_size,overload,retained,CR_decim,f1,precision,recall,f1_baseline
115,FIFO,32,20,531,18.832,0.8235,1.0,0.7,0.9831
115,IE,32,50,231,43.29,0.9831,1.0,0.9667,0.9831
115,FIFO,32,50,231,43.29,0.4103,0.8889,0.2667,0.9831
115,IE,64,5,2063,4.847,0.9831,1.0,0.9667,0.9831
115,FIFO,64,5,2063,4.847,0.9831,1.0,0.9667,0.9831
115,IE,64,10,1063,9.407,0.9831,1.0,0.9667,0.9831
115,FIFO,64,10,1063,9.407,0.9091,1.0,0.8333,0.9831
115,IE,64,20,563,17.762,0.9831,1.0,0.9667,0.9831
115,FIFO,64,20,563,17.762,0.8235,1.0,0.7,0.9831
115,IE,64,50,263,38.023,0.9831,1.0,0.9667,0.9831
115,FIFO,64,50,263,38.023,0.4898,0.6316,0.4,0.9831
115,IE,128,5,2127,4.701,0.9831,1.0,0.9667,0.9831
115,FIFO,128,5,2127,4.701,0.9831,1.0,0.9667,0.9831
115,IE,128,10,1127,8.873,0.9831,1.0,0.9667,0.9831
115,FIFO,128,10,1127,8.873,0.8679,1.0,0.7667,0.9831
115,IE,128,20,627,15.949,0.9831,1.0,0.9667,0.9831
115,FIFO,128,20,627,15.949,0.6522,0.9375,0.5,0.9831
115,IE,128,50,327,30.581,0.9831,1.0,0.9667,0.9831
115,FIFO,128,50,327,30.581,0.5,0.7857,0.3667,0.9831
115,IE,256,5,2255,4.435,0.9831,1.0,0.9667,0.9831
115,FIFO,256,5,2255,4.435,0.9831,1.0,0.9667,0.9831
115,IE,256,10,1255,7.968,0.9831,1.0,0.9667,0.9831
115,FIFO,256,10,1255,7.968,0.9655,1.0,0.9333,0.9831
115,IE,256,20,755,13.245,0.9831,1.0,0.9667,0.9831
115,FIFO,256,20,755,13.245,0.8679,1.0,0.7667,0.9831
115,IE,256,50,455,21.978,0.9831,1.0,0.9667,0.9831
115,FIFO,256,50,455,21.978,0.5672,0.5135,0.6333,0.9831
115,IE,512,5,2511,3.982,0.9831,1.0,0.9667,0.9831
115,FIFO,512,5,2511,3.982,0.9831,1.0,0.9667,0.9831
115,IE,512,10,1511,6.618,0.9831,1.0,0.9667,0.9831
115,FIFO,512,10,1511,6.618,0.9831,1.0,0.9667,0.9831
115,IE,512,20,1011,9.891,0.9831,1.0,0.9667,0.9831
115,FIFO,512,20,1011,9.891,0.8235,1.0,0.7,0.9831
115,IE,512,50,711,14.065,0.9831,1.0,0.9667,0.9831
115,FIFO,512,50,711,14.065,0.5,0.5909,0.4333,0.9831
118,IE,32,5,2031,4.924,0.9855,1.0,0.9714,0.9855
118,FIFO,32,5,2031,4.924,0.9855,1.0,0.9714,0.9855
118,IE,32,10,1031,9.699,0.9855,1.0,0.9714,0.9855
118,FIFO,32,10,1031,9.699,0.9855,1.0,0.9714,0.9855
118,IE,32,20,531,18.832,0.9855,1.0,0.9714,0.9855
118,FIFO,32,20,531,18.832,0.9855,1.0,0.9714,0.9855
118,IE,32,50,231,43.29,0.9855,1.0,0.9714,0.9855
118,FIFO,32,50,231,43.29,0.7869,0.9231,0.6857,0.9855
118,IE,64,5,2063,4.847,0.9855,1.0,0.9714,0.9855
118,FIFO,64,5,2063,4.847,0.9855,1.0,0.9714,0.9855
118,IE,64,10,1063,9.407,0.9855,1.0,0.9714,0.9855
118,FIFO,64,10,1063,9.407,0.9706,1.0,0.9429,0.9855
118,IE,64,20,563,17.762,0.9855,1.0,0.9714,0.9855
118,FIFO,64,20,563,17.762,0.9412,0.9697,0.9143,0.9855
118,IE,64,50,263,38.023,0.9855,1.0,0.9714,0.9855
118,FIFO,64,50,263,38.023,0.7797,0.9583,0.6571,0.9855
118,IE,128,5,2127,4.701,0.9855,1.0,0.9714,0.9855
118,FIFO,128,5,2127,4.701,0.9855,1.0,0.9714,0.9855
118,IE,128,10,1127,8.873,0.9855,1.0,0.9714,0.9855
118,FIFO,128,10,1127,8.873,0.9855,1.0,0.9714,0.9855
118,IE,128,20,627,15.949,0.9855,1.0,0.9714,0.9855
118,FIFO,128,20,627,15.949,0.9552,1.0,0.9143,0.9855
118,IE,128,50,327,30.581,0.9855,1.0,0.9714,0.9855
118,FIFO,128,50,327,30.581,0.8,0.96,0.6857,0.9855
118,IE,256,5,2255,4.435,0.9855,1.0,0.9714,0.9855
118,FIFO,256,5,2255,4.435,0.9855,1.0,0.9714,0.9855
118,IE,256,10,1255,7.968,0.9855,1.0,0.9714,0.9855
118,FIFO,256,10,1255,7.968,0.9565,0.9706,0.9429,0.9855
118,IE,256,20,755,13.245,0.9855,1.0,0.9714,0.9855
118,FIFO,256,20,755,13.245,0.9552,1.0,0.9143,0.9855
118,IE,256,50,455,21.978,0.9855,1.0,0.9714,0.9855
118,FIFO,256,50,455,21.978,0.7213,0.8462,0.6286,0.9855
118,IE,512,5,2511,3.982,0.9855,1.0,0.9714,0.9855
118,FIFO,512,5,2511,3.982,0.9855,1.0,0.9714,0.9855
118,IE,512,10,1511,6.618,0.9855,1.0,0.9714,0.9855
118,FIFO,512,10,1511,6.618,0.9855,1.0,0.9714,0.9855
118,IE,512,20,1011,9.891,0.9855,1.0,0.9714,0.9855
118,FIFO,512,20,1011,9.891,0.9855,1.0,0.9714,0.9855
