alpha,beta,gamma,window_half,signal,trial,snr_db,mse,deriv_ratio,max_error,drops,snr_saturated
0.2,0.4,0.4,2,chirp,2,23.8484,1.980455e-03,0.7257,1.9575e-01,535,0
0.2,0.4,0.4,2,spikes,0,11.1890,1.732363e-03,0.7452,1.9833e-01,535,0
0.2,0.4,0.4,2,spikes,1,11.3865,1.655350e-03,0.7518,1.9833e-01,521,0
0.2,0.4,0.4,2,spikes,2,11.2676,1.701299e-03,0.7454,1.9361e-01,534,0
0.2,0.4,0.4,2,ecg,0,33.6878,5.597852e-11,0.8802,3.5000e-05,533,0
0.2,0.4,0.4,2,ecg,1,33.2151,6.241462e-11,0.8797,4.0000e-05,534,0
0.2,0.4,0.4,2,ecg,2,33.7046,5.576220e-11,0.8807,2.8333e-05,534,0
0.2,0.5,0.3,2,sine,0,24.6853,1.695205e-03,0.6940,1.9373e-01,534,0
0.2,0.5,0.3,2,sine,1,24.7516,1.669497e-03,0.6949,1.9373e-01,536,0
0.2,0.5,0.3,2,sine,2,24.5518,1.748121e-03,0.6928,1.9373e-01,534,0
0.2,0.5,0.3,2,chirp,0,23.2759,2.259499e-03,0.7089,2.1830e-01,533,0
0.2,0.5,0.3,2,chirp,1,23.7753,2.014044e-03,0.7031,2.1830e-01,533,0
0.2,0.5,0.3,2,chirp,2,23.3203,2.236518e-03,0.6960,2.1830e-01,536,0
0.2,0.5,0.3,2,spikes,0,11.0547,1.786802e-03,0.7478,1.7348e-01,532,0
0.2,0.5,0.3,2,spikes,1,10.9852,1.815626e-03,0.7435,1.8030e-01,537,0
0.2,0.5,0.3,2,spikes,2,11.7604,1.518806e-03,0.7541,1.7348e-01,529,0
0.2,0.5,0.3,2,ecg,0,33.3865,6.000037e-11,0.8797,3.4444e-05,537,0
0.2,0.5,0.3,2,ecg,1,33.4414,5.924620e-11,0.8728,3.4444e-05,535,0
0.2,0.5,0.3,2,ecg,2,33.7279,5.546403e-11,0.8812,3.7143e-05,534,0
0.2,0.6,0.2,2,sine,0,24.5914,1.732230e-03,0.6809,1.9373e-01,533,0
0.2,0.6,0.2,2,sine,1,24.6721,1.700342e-03,0.6879,1.9373e-01,535,0
0.2,0.6,0.2,2,sine,2,24.2721,1.864413e-03,0.6802,1.9627e-01,535,0
0.2,0.6,0.2,2,chirp,0,23.6468,2.074526e-03,0.6969,2.1830e-01,537,0
0.2,0.6,0.2,2,chirp,1,23.6128,2.090832e-03,0.6906,2.1830e-01,534,0
0.2,0.6,0.2,2,chirp,2,23.7924,2.006124e-03,0.6957,2.1830e-01,536,0
0.2,0.6,0.2,2,spikes,0,11.6541,1.556441e-03,0.7396,1.8030e-01,532,0
0.2,0.6,0.2,2,spikes,1,11.6508,1.557611e-03,0.7274,1.8030e-01,533,0
0.2,0.6,0.2,2,spikes,2,11.1328,1.754926e-03,0.7412,2.0016e-01,533,0
0.2,0.6,0.2,2,ecg,0,32.9962,6.564099e-11,0.8812,4.1304e-05,535,0
0.2,0.6,0.2,2,ecg,1,33.4622,5.896251e-11,0.8772,4.1304e-05,531,0
0.2,0.6,0.2,2,ecg,2,33.2513,6.189660e-11,0.8807,4.0000e-05,536,0
0.2,0.7,0.1,2,sine,0,25.3453,1.456214e-03,0.6684,1.7517e-01,534,0
0.2,0.7,0.1,2,sine,1,24.9284,1.602932e-03,0.6816,1.9373e-01,533,0
0.2,0.7,0.1,2,sine,2,24.7349,1.675940e-03,0.6738,1.9373e-01,535,0
0.2,0.7,0.1,2,chirp,0,24.0257,1.901198e-03,0.6886,1.9017e-01,534,0
0.2,0.7,0.1,2,chirp,1,24.0962,1.870576e-03,0.6884,1.9311e-01,536,0
0.2,0.7,0.1,2,chirp,2,24.0458,1.892424e-03,0.6977,1.9575e-01,533,0
0.2,0.7,0.1,2,spikes,0,11.7002,1.540024e-03,0.7488,1.7516e-01,533,0
0.2,0.7,0.1,2,spikes,1,11.4232,1.641428e-03,0.7204,1.7516e-01,532,0
0.2,0.7,0.1,2,spikes,2,11.5114,1.608418e-03,0.7322,1.8123e-01,538,0
0.2,0.7,0.1,2,ecg,0,33.8739,5.363073e-11,0.8822,3.2273e-05,534,0
0.2,0.7,0.1,2,ecg,1,33.3970,5.985507e-11,0.8787,3.1923e-05,534,0
0.2,0.7,0.1,2,ecg,2,33.6672,5.624469e-11,0.8782,3.1923e-05,533,0
0.3,0.1,0.6,2,sine,0,24.7201,1.681680e-03,0.7231,1.8306e-01,533,0
0.3,0.1,0.6,2,sine,1,24.7178,1.682561e-03,0.7239,1.8306e-01,533,0
