mode,buffer_size,repeat,evictions,avg_us,trial_max_us,wall_clock_ms
IMP_INTERP_ERROR,2048,228,47952,5.8609,65.2140,285.9352
IMP_INTERP_ERROR,2048,229,47952,6.3539,119.7080,310.1503
IMP_INTERP_ERROR,2048,230,47952,5.8679,76.5810,286.3328
IMP_INTERP_ERROR,2048,231,47952,5.8361,54.6840,284.7921
IMP_INTERP_ERROR,2048,232,47952,5.8428,135.0460,285.1358
IMP_INTERP_ERROR,2048,233,47952,5.7904,128.0180,282.5456
IMP_INTERP_ERROR,2048,234,47952,5.8530,57.5500,285.5844
IMP_INTERP_ERROR,2048,235,47952,5.8256,58.1900,284.2799
IMP_INTERP_ERROR,2048,236,47952,5.8179,46.0670,283.9406
IMP_INTERP_ERROR,2048,237,47952,5.8457,62.9200,285.2943
IMP_INTERP_ERROR,2048,238,47952,5.7936,47.2490,282.7751
IMP_INTERP_ERROR,2048,239,47952,6.0710,159.5530,296.2249
IMP_INTERP_ERROR,2048,240,47952,5.9361,347.7210,289.7200
IMP_INTERP_ERROR,2048,241,47952,5.8697,53.7930,286.4412
IMP_INTERP_ERROR,2048,242,47952,5.9846,127.7370,292.1306
IMP_INTERP_ERROR,2048,243,47952,5.8604,49.0640,285.9435
IMP_INTERP_ERROR,2048,244,47952,5.8006,49.3430,283.0577
IMP_INTERP_ERROR,2048,245,47952,6.7530,154.2730,329.6054
IMP_INTERP_ERROR,2048,246,47952,6.2672,965.0350,305.9605
IMP_INTERP_ERROR,2048,247,47952,5.8209,47.2990,284.0398
IMP_INTERP_ERROR,2048,248,47952,5.8821,65.2490,287.0563
IMP_INTERP_ERROR,2048,249,47952,5.8849,52.3790,287.2445
IMP_INTERP_ERROR,2048,250,47952,5.8788,42.0700,286.9569
IMP_INTERP_ERROR,2048,251,47952,5.8325,91.3680,284.7131
IMP_INTERP_ERROR,2048,252,47952,5.9861,115.9490,292.2059
IMP_INTERP_ERROR,2048,253,47952,5.9951,234.1920,292.5757
IMP_INTERP_ERROR,2048,254,47952,5.8391,40.5070,284.9400
IMP_INTERP_ERROR,2048,255,47952,5.8446,66.0460,285.2557
IMP_INTERP_ERROR,2048,256,47952,5.9785,105.6400,291.8466
IMP_INTERP_ERROR,2048,257,47952,5.8332,57.9910,284.6525
IMP_INTERP_ERROR,2048,258,47952,5.8562,50.1860,285.7685
IMP_INTERP_ERROR,2048,259,47952,5.8732,60.7350,286.6122
IMP_INTERP_ERROR,2048,260,47952,6.0654,249.6750,296.0603
IMP_INTERP_ERROR,2048,261,47952,5.8907,67.2070,287.4559
IMP_INTERP_ERROR,2048,262,47952,5.9452,104.0580,290.2245
IMP_INTERP_ERROR,2048,263,47952,5.8567,69.9130,285.7442
IMP_INTERP_ERROR,2048,264,47952,5.8242,36.8900,284.1682
IMP_INTERP_ERROR,2048,265,47952,5.8525,46.3380,285.5790
IMP_INTERP_ERROR,2048,266,47952,5.8882,115.2990,287.3486
IMP_INTERP_ERROR,2048,267,47952,5.8485,182.9120,285.4600
IMP_INTERP_ERROR,2048,268,47952,5.9760,73.3500,291.6676
IMP_INTERP_ERROR,2048,269,47952,5.8990,52.8800,287.8402
IMP_INTERP_ERROR,2048,270,47952,5.8548,85.9880,285.7663
IMP_INTERP_ERROR,2048,271,47952,5.8875,49.8640,287.3248
IMP_INTERP_ERROR,2048,272,47952,5.9674,47.0500,291.0789
IMP_INTERP_ERROR,2048,273,47952,5.9459,52.5000,290.0986
IMP_INTERP_ERROR,2048,274,47952,6.0977,113.8660,297.6014
IMP_INTERP_ERROR,2048,275,47952,5.9130,79.3910,288.5954
IMP_INTERP_ERROR,2048,276,47952,5.9130,38.6730,288.5586
IMP_INTERP_ERROR,2048,277,47952,5.8328,55.9260,284.6848
IMP_INTERP_ERROR,2048,278,47952,5.8391,41.6290,285.0069
IMP_INTERP_ERROR,2048,279,47952,5.9528,50.2550,290.4820
IMP_INTERP_ERROR,2048,280,47952,5.9038,105.8910,288.1163
IMP_INTERP_ERROR,2048,281,47952,5.8202,60.5860,284.0275
IMP_INTERP_ERROR,2048,282,47952,6.2584,129.8470,305.5181
IMP_INTERP_ERROR,2048,283,47952,5.8814,52.1590,286.9662
IMP_INTERP_ERROR,2048,284,47952,5.9117,86.3410,288.5546
IMP_INTERP_ERROR,2048,285,47952,5.8047,63.8410,283.2306
IMP_INTERP_ERROR,2048,286,47952,5.7911,92.1960,282.5784
IMP_INTERP_ERROR,2048,287,47952,5.7753,72.4430,281.8497
IMP_INTERP_ERROR,2048,288,47952,5.8397,92.6010,284.9457
IMP_INTERP_ERROR,2048,289,47952,5.7776,69.3310,281.9236
IMP_INTERP_ERROR,2048,290,47952,5.7738,68.6810,281.7429
IMP_INTERP_ERROR,2048,291,47952,5.7721,35.5280,281.6240
IMP_INTERP_ERROR,2048,292,47952,5.7895,48.8730,282.5015
IMP_INTERP_ERROR,2048,293,47952,5.7746,49.0130,281.8026
IMP_INTERP_ERROR,2048,294,47952,5.7778,79.6960,281.9682
IMP_INTERP_ERROR,2048,295,47952,5.7933,61.0510,282.7636
IMP_INTERP_ERROR,2048,296,47952,5.8590,92.5260,285.9487
