signal,domain,buffer_size,overload,retained,decimation,bits_per_index,bits_per_survivor,CR,bits_per_sample,snr_db,PRD_pct,CR_v3_float32
ecg_108,ecg,64,30,130,15.384615384615385,5.593155876895067,21.593155876895068,11.399623452782725,1.4035551319981794,21.491096,8.422581072042586,5.128205128205129
ecg_108,ecg,64,50,103,19.41747572815534,5.942266245376491,21.94226624537649,14.158957337232634,1.1300267116368894,19.568305,10.50956522806735,6.472491909385114
ecg_108,ecg,128,2,1127,1.774622892635315,3.261168384879725,19.261168384879724,1.474155965764501,10.853668384879724,41.751382,0.8173929733206261,0.5915409642117717
ecg_108,ecg,128,3,794,2.5188916876574305,3.261168384879725,19.261168384879724,2.092410293975557,7.646683848797251,36.339116,1.5242078710335398,0.8396305625524769
ecg_108,ecg,128,4,627,3.189792663476874,3.261168384879725,19.261168384879724,2.6497189368685685,6.038376288659793,33.249946,2.175217557260993,1.063264221158958
ecg_108,ecg,128,5,527,3.795066413662239,3.261168384879725,19.261168384879724,3.152511904016304,5.075317869415808,31.133022,2.7755490074007136,1.2650221378874131
ecg_108,ecg,128,6,461,4.3383947939262475,3.4317906302274106,19.43179063022741,3.5722038191807957,4.479027740267418,29.82313,3.2273309287047143,1.4461315979754157
ecg_108,ecg,128,10,327,6.116207951070336,3.9866361749789636,19.986636174978962,4.896237984240407,3.2678150146090603,27.190659,4.369855236430572,2.038735983690112
ecg_108,ecg,128,20,227,8.810572687224669,4.716132881209264,20.716132881209262,6.80480106031092,2.3512810820172514,24.748709,5.788480172175906,2.9368575624082234
ecg_108,ecg,128,30,194,10.309278350515465,4.899383674139066,20.899383674139067,7.89250325177555,2.0272402163914895,24.057888,6.267662462297515,3.4364261168384878
ecg_108,ecg,128,50,167,11.976047904191617,5.163190105537737,21.163190105537737,9.054247753363319,1.767126373812401,23.224951,6.89846475852524,3.992015968063872
ecg_108,ecg,256,2,1255,1.593625498007968,3.261168384879725,19.261168384879724,1.323803803519197,12.086383161512027,43.167506,0.6944239646835503,0.5312084993359893
ecg_108,ecg,256,3,922,2.1691973969631237,3.261168384879725,19.261168384879724,1.8019238323390374,8.879398625429552,37.775355,1.2919099705687829,0.7230657989877078
ecg_108,ecg,256,4,755,2.6490066225165565,3.261168384879725,19.261168384879724,2.200495064127937,7.2710910652920955,35.137038,1.750443510591182,0.8830022075055187
ecg_108,ecg,256,5,655,3.053435114503817,3.261168384879725,19.261168384879724,2.536448509032965,6.30803264604811,33.36319,2.1470418017563153,1.0178117048346056
ecg_108,ecg,256,6,589,3.395585738539898,3.261168384879725,19.261168384879724,2.820668545698799,5.672414089347079,32.04907,2.4977358079271434,1.1318619128466327
