buf_size,overload,trial,method,snr_db,spec_corr_global,sc_q1,sc_q2,sc_q3,sc_q4,n_q1,n_q2,n_q3,n_q4,max_gap,n_surviving
256,15,2,PROPOSED,5.7894,0.8442,0.9959,0.9827,0.9863,0.4042,147,93,132,97,20.0000,469
256,15,2,RDP,10.6577,0.9730,0.9875,0.9846,0.9896,0.9823,46,104,132,187,21.0000,469
256,15,3,PROPOSED,5.3322,0.8305,0.9959,0.9842,0.9876,0.3312,143,93,132,98,20.0000,466
256,15,3,RDP,10.6006,0.9729,0.9875,0.9846,0.9896,0.9819,46,102,132,186,21.0000,466
256,15,4,PROPOSED,5.5041,0.8324,0.9959,0.9852,0.9888,0.3659,144,94,132,97,21.0000,467
256,15,4,RDP,10.6219,0.9726,0.9875,0.9844,0.9896,0.9819,46,103,132,186,21.0000,467
512,3,0,PROPOSED,21.6741,0.9977,1.0000,0.9993,0.9981,0.9970,488,313,280,335,4.0000,1416
512,3,0,RDP,31.5569,0.9997,0.9998,0.9998,0.9999,0.9999,177,360,428,451,9.0000,1416
512,3,1,PROPOSED,21.6650,0.9977,1.0000,0.9993,0.9981,0.9970,488,312,280,335,4.0000,1415
512,3,1,RDP,31.5440,0.9997,0.9998,0.9998,0.9999,0.9999,177,359,428,451,9.0000,1415
512,3,2,PROPOSED,21.6744,0.9977,1.0000,0.9993,0.9981,0.9970,488,314,280,335,4.0000,1417
512,3,2,RDP,31.6064,0.9997,0.9998,0.9998,0.9999,0.9999,178,360,428,451,9.0000,1417
512,3,3,PROPOSED,21.6773,0.9977,1.0000,0.9993,0.9981,0.9971,488,312,278,336,4.0000,1414
512,3,3,RDP,31.5150,0.9997,0.9998,0.9998,0.9999,0.9999,177,359,427,451,9.0000,1414
512,3,4,PROPOSED,21.6733,0.9977,1.0000,0.9993,0.9981,0.9971,488,311,278,336,4.0000,1413
512,3,4,RDP,31.4858,0.9997,0.9998,0.9998,0.9999,0.9999,177,358,427,451,9.0000,1413
512,5,0,PROPOSED,18.4982,0.9949,0.9998,0.9983,0.9949,0.9951,370,204,223,304,5.0000,1101
