sample,original,proposed_recon,rdp_recon
410,-0.951057,-0.833417,-0.833417
411,-0.684547,-0.684547,-0.684547
412,-0.24869,-0.228182,-0.228182
413,0.24869,0.228182,0.228182
414,0.684547,0.684547,0.684547
415,0.951057,0.833417,0.833417
416,0.982287,0.982287,0.982287
417,0.770513,0.770513,0.770513
418,0.368125,0.351678,0.351678
419,-0.125333,-0.0671569,-0.0671569
420,-0.587785,-0.485992,-0.485992
421,-0.904827,-0.904827,-0.904827
422,-0.998027,-0.874577,-0.874577
423,-0.844328,-0.844328,-0.844328
424,-0.481754,-0.422164,-0.422164
425,5.88326e-15,3.10862e-15,3.10862e-15
426,0.481754,0.422164,0.422164
427,0.844328,0.844328,0.844328
428,0.998027,0.998027,0.874577
429,0.904827,0.904827,0.904827
430,0.587785,0.485992,0.485992
431,0.125333,0.0671569,0.0671569
432,-0.368125,-0.351678,-0.351678
433,-0.770513,-0.770513,-0.770513
434,-0.982287,-0.982287,-0.982287
435,-0.951057,-0.833417,-0.833417
436,-0.684547,-0.684547,-0.684547
437,-0.24869,-0.228182,-0.228182
438,0.24869,0.228182,0.228182
439,0.684547,0.684547,0.684547
440,0.951057,0.833417,0.833417
441,0.982287,0.982287,0.982287
442,0.770513,0.770513,0.770513
443,0.368125,0.351678,0.351678
444,-0.125333,-0.0671569,-0.0671569
445,-0.587785,-0.485992,-0.485992
446,-0.904827,-0.904827,-0.904827
447,-0.998027,-0.998027,-0.874577
448,-0.844328,-0.844328,-0.844328
449,-0.481754,-0.422164,-0.422164
450,1.96043e-14,1.04361e-14,1.04361e-14
451,0.481754,0.422164,0.422164
452,0.844328,0.844328,0.844328
453,0.998027,0.874577,0.874577
454,0.904827,0.904827,0.904827
455,0.587785,0.485992,0.485992
456,0.125333,0.0671569,0.0671569
457,-0.368125,-0.351678,-0.351678
458,-0.770513,-0.770513,-0.770513
459,-0.982287,-0.982287,-0.982287
460,-0.951057,-0.833417,-0.833417
461,-0.684547,-0.684547,-0.684547
462,-0.24869,-0.228182,-0.228182
463,0.24869,0.228182,0.228182
464,0.684547,0.684547,0.684547
465,0.951057,0.833417,0.833417
466,0.982287,0.982287,0.982287
467,0.770513,0.770513,0.770513
468,0.368125,0.351678,0.351678
469,-0.125333,-0.0671569,-0.0671569
470,-0.587785,-0.485992,-0.485992
471,-0.904827,-0.904827,-0.904827
472,-0.998027,-0.874577,-0.874577
473,-0.844328,-0.844328,-0.844328
474,-0.481754,-0.422164,-0.422164
475,4.90354e-15,2.55351e-15,2.55351e-15
476,0.481754,0.422164,0.422164
477,0.844328,0.844328,0.844328
478,0.998027,0.874577,0.874577
479,0.904827,0.904827,0.904827
480,0.587785,0.485992,0.485992
481,0.125333,0.0671569,0.0671569
482,-0.368125,-0.351678,-0.351678
483,-0.770513,-0.770513,-0.770513
484,-0.982287,-0.982287,-0.982287
485,-0.951057,-0.833417,-0.833417
486,-0.684547,-0.684547,-0.684547
487,-0.24869,-0.228182,-0.228182
488,0.24869,0.228182,0.228182
489,0.684547,0.684547,0.684547
490,0.951057,0.833417,0.833417
491,0.982287,0.982287,0.982287
492,0.770513,0.770513,0.770513
493,0.368125,0.351678,0.351678
494,-0.125333,-0.0671569,-0.0671569
495,-0.587785,-0.485992,-0.485992
496,-0.904827,-0.904827,-0.904827
497,-0.998027,-0.874577,-0.874577
498,-0.844328,-0.844328,-0.844328
499,-0.481754,-0.422164,-0.422164
500,1.86245e-14,9.88098e-15,9.88098e-15
501,0.481754,0.422164,0.422164
502,0.844328,0.844328,0.844328
503,0.998027,0.874577,0.874577
504,0.904827,0.904827,0.904827
505,0.587785,0.485992,0.485992
506,0.125333,0.0671569,0.0671569
507,-0.368125,-0.351678,-0.351678
508,-0.770513,-0.770513,-0.770513
509,-0.982287,-0.982287,-0.982287
510,-0.951057,-0.833417,-0.833417
511,-0.684547,-0.684547,-0.684547
512,-0.24869,-0.228182,-0.228182
513,0.24869,0.228182,0.228182
514,0.684547,0.684547,0.684547
515,0.951057,0.833417,0.833417
516,0.982287,0.982287,0.982287
517,0.770513,0.770513,0.770513
518,0.368125,0.351678,0.351678
519,-0.125333,-0.0671569,-0.0671569
520,-0.587785,-0.485992,-0.485992
521,-0.904827,-0.904827,-0.904827
522,-0.998027,-0.874577,-0.874577
523,-0.844328,-0.844328,-0.844328
524,-0.481754,-0.422164,-0.422164
525,3.92382e-15,2.10942e-15,2.10942e-15
526,0.481754,0.422164,0.422164
527,0.844328,0.844328,0.844328
528,0.998027,0.874577,0.874577
529,0.904827,0.904827,0.904827
530,0.587785,0.485992,0.485992
531,0.125333,0.0671569,0.0671569
532,-0.368125,-0.351678,-0.351678
533,-0.770513,-0.770513,-0.770513
534,-0.982287,-0.982287,-0.982287
535,-0.951057,-0.833417,-0.833417
536,-0.684547,-0.684547,-0.684547
537,-0.24869,-0.228182,-0.228182
538,0.24869,0.228182,0.228182
539,0.684547,0.684547,0.684547
540,0.951057,0.833417,0.833417
541,0.982287,0.982287,0.982287
542,0.770513,0.770513,0.770513
543,0.368125,0.351678,0.351678
544,-0.125333,-0.0671569,-0.0671569
545,-0.587785,-0.485992,-0.485992
546,-0.904827,-0.904827,-0.904827
547,-0.998027,-0.874577,-0.874577
548,-0.844328,-0.844328,-0.844328
549,-0.481754,-0.422164,-0.422164
550,1.76448e-14,9.4369e-15,9.4369e-15
551,0.481754,0.422164,0.422164
552,0.844328,0.844328,0.844328
553,0.998027,0.874577,0.874577
554,0.904827,0.904827,0.904827
555,0.587785,0.485992,0.485992
556,0.125333,0.0671569,0.0671569
557,-0.368125,-0.351678,-0.351678
558,-0.770513,-0.770513,-0.770513
559,-0.982287,-0.982287,-0.982287
560,-0.951057,-0.833417,-0.833417
561,-0.684547,-0.684547,-0.684547
562,-0.24869,-0.228182,-0.228182
563,0.24869,0.228182,0.228182
564,0.684547,0.684547,0.684547
565,0.951057,0.833417,0.833417
566,0.982287,0.982287,0.982287
567,0.770513,0.770513,0.770513
568,0.368125,0.351678,0.351678
569,-0.125333,-0.0671569,-0.0671569
570,-0.587785,-0.485992,-0.485992
571,-0.904827,-0.904827,-0.904827
572,-0.998027,-0.874577,-0.998027
573,-0.844328,-0.844328,-0.844328
574,-0.481754,-0.422164,-0.422164
575,3.13658e-14,1.67644e-14,1.67644e-14
576,0.481754,0.422164,0.422164
577,0.844328,0.844328,0.844328
578,0.998027,0.874577,0.874577
579,0.904827,0.904827,0.904827
580,0.587785,0.485992,0.485992
581,0.125333,0.0671569,0.0671569
582,-0.368125,-0.351678,-0.351678
583,-0.770513,-0.770513,-0.770513
584,-0.982287,-0.982287,-0.982287
585,-0.951057,-0.833417,-0.833417
586,-0.684547,-0.684547,-0.684547
587,-0.24869,-0.228182,-0.228182
588,0.24869,0.228182,0.228182
589,0.684547,0.684547,0.684547
590,0.951057,0.833417,0.833417
591,0.982287,0.982287,0.982287
592,0.770513,0.770513,0.770513
593,0.368125,0.351678,0.351678
594,-0.125333,-0.0671569,-0.0671569
595,-0.587785,-0.485992,-0.485992
596,-0.904827,-0.904827,-0.904827
597,-0.998027,-0.874577,-0.874577
598,-0.844328,-0.844328,-0.844328
599,-0.481754,-0.422164,-0.422164
600,-1.17566e-14,8.99281e-15,8.99281e-15
601,0.481754,0.422164,0.422164
602,0.844328,0.844328,0.844328
603,0.998027,0.874577,0.874577
604,0.904827,0.904827,0.904827
605,0.587785,0.485992,0.485992
606,0.125333,0.0671569,0.0671569
607,-0.368125,-0.351678,-0.351678
608,-0.770513,-0.770513,-0.770513
609,-0.982287,-0.860785,-0.982287
610,-0.951057,-0.951057,-0.833417
611,-0.684547,-0.570634,-0.684547
612,-0.24869,-0.190211,-0.228182
613,0.24869,0.190211,0.228182
614,0.684547,0.570634,0.684547
615,0.951057,0.951057,0.833417
616,0.982287,0.982287,0.982287
617,0.770513,0.604864,0.770513
618,0.368125,0.227442,0.351678
619,-0.125333,-0.149981,-0.0671569
620,-0.587785,-0.527404,-0.485992
621,-0.904827,-0.904827,-0.904827
622,-0.998027,-0.874577,-0.874577
623,-0.844328,-0.844328,-0.844328
624,-0.481754,-0.422164,-0.422164
625,1.96439e-15,9.99201e-16,9.99201e-16
626,0.481754,0.422164,0.422164
627,0.844328,0.844328,0.844328
628,0.998027,0.874577,0.874577
629,0.904827,0.904827,0.904827
630,0.587785,0.485992,0.485992
631,0.125333,0.0671569,0.0671569
632,-0.368125,-0.351678,-0.351678
633,-0.770513,-0.770513,-0.770513
634,-0.982287,-0.982287,-0.982287
635,-0.951057,-0.833417,-0.833417
636,-0.684547,-0.684547,-0.684547
637,-0.24869,-0.228182,-0.228182
638,0.24869,0.228182,0.228182
639,0.684547,0.684547,0.684547
640,0.951057,0.833417,0.833417
641,0.982287,0.982287,0.982287
642,0.770513,0.770513,0.770513
643,0.368125,0.351678,0.351678
644,-0.125333,-0.0671569,-0.0671569
645,-0.587785,-0.485992,-0.485992
646,-0.904827,-0.904827,-0.904827
647,-0.998027,-0.874577,-0.874577
648,-0.844328,-0.844328,-0.844328
649,-0.481754,-0.422164,-0.422164
650,1.56854e-14,8.32667e-15,8.32667e-15
651,0.481754,0.422164,0.422164
652,0.844328,0.844328,0.844328
653,0.998027,0.874577,0.874577
654,0.904827,0.904827,0.904827
655,0.587785,0.485992,0.485992
656,0.125333,0.0671569,0.0671569
657,-0.368125,-0.351678,-0.351678
658,-0.770513,-0.770513,-0.770513
659,-0.982287,-0.860785,-0.982287
660,-0.951057,-0.951057,-0.833417
661,-0.684547,-0.570634,-0.684547
662,-0.24869,-0.190211,-0.228182
663,0.24869,0.190211,0.228182
664,0.684547,0.570634,0.684547
665,0.951057,0.951057,0.833417
666,0.982287,0.982287,0.982287
667,0.770513,0.604864,0.770513
668,0.368125,0.227442,0.351678
669,-0.125333,-0.149981,-0.0671569
670,-0.587785,-0.527404,-0.485992
671,-0.904827,-0.904827,-0.904827
672,-0.998027,-0.874577,-0.874577
673,-0.844328,-0.844328,-0.844328
674,-0.481754,-0.422164,-0.422164
675,2.94064e-14,1.57652e-14,1.57652e-14
676,0.481754,0.422164,0.422164
677,0.844328,0.844328,0.844328
678,0.998027,0.874577,0.874577
679,0.904827,0.904827,0.904827
680,0.587785,0.485992,0.485992
681,0.125333,0.0671569,0.0671569
682,-0.368125,-0.351678,-0.351678
683,-0.770513,-0.770513,-0.770513
684,-0.982287,-0.982287,-0.982287
685,-0.951057,-0.833417,-0.833417
686,-0.684547,-0.684547,-0.684547
687,-0.24869,-0.228182,-0.228182
688,0.24869,0.228182,0.228182
689,0.684547,0.684547,0.684547
690,0.951057,0.833417,0.833417
691,0.982287,0.982287,0.982287
692,0.770513,0.604864,0.770513
693,0.368125,0.227442,0.351678
694,-0.125333,-0.149981,-0.0671569
695,-0.587785,-0.527404,-0.485992
696,-0.904827,-0.904827,-0.904827
697,-0.998027,-0.998027,-0.874577
698,-0.844328,-0.73989,-0.844328
699,-0.481754,-0.481754,-0.422164
700,4.31274e-14,-0.0397265,7.88258e-15
701,0.481754,0.402301,0.422164
702,0.844328,0.844328,0.844328
703,0.998027,0.998027,0.874577
704,0.904827,0.792906,0.904827
705,0.587785,0.587785,0.485992
706,0.125333,0.135019,0.0671569
707,-0.368125,-0.317747,-0.351678
708,-0.770513,-0.770513,-0.770513
709,-0.982287,-0.860785,-0.982287
710,-0.951057,-0.951057,-0.833417
711,-0.684547,-0.570634,-0.684547
712,-0.24869,-0.190211,-0.228182
713,0.24869,0.190211,0.228182
714,0.684547,0.570634,0.684547
715,0.951057,0.951057,0.833417
716,0.982287,0.982287,0.982287
717,0.770513,0.604864,0.770513
718,0.368125,0.227442,0.351678
719,-0.125333,-0.149981,-0.0671569
720,-0.587785,-0.527404,-0.485992
721,-0.904827,-0.904827,-0.904827
722,-0.998027,-0.874577,-0.874577
723,-0.844328,-0.844328,-0.844328
724,-0.481754,-0.422164,-0.422164
725,4.95185e-18,0,0
726,0.481754,0.422164,0.422164
727,0.844328,0.844328,0.844328
728,0.998027,0.998027,0.998027
729,0.904827,0.792906,0.904827
730,0.587785,0.587785,0.485992
731,0.125333,0.135019,0.0671569
732,-0.368125,-0.317747,-0.351678
733,-0.770513,-0.770513,-0.770513
734,-0.982287,-0.860785,-0.982287
735,-0.951057,-0.951057,-0.833417
