method,sample_idx,value
PROPOSED,1777,0.844328
PROPOSED,1779,0.904827
PROPOSED,1783,-0.770513
PROPOSED,1785,-0.951057
PROPOSED,1789,0.684547
PROPOSED,1791,0.982287
PROPOSED,1796,-0.904827
PROPOSED,1798,-0.844328
PROPOSED,1802,0.844328
PROPOSED,1803,0.998027
PROPOSED,1809,-0.982287
PROPOSED,1810,-0.951057
PROPOSED,1815,0.951057
PROPOSED,1816,0.982287
PROPOSED,1821,-0.904827
PROPOSED,1823,-0.844328
PROPOSED,1827,0.844328
PROPOSED,1829,0.904827
PROPOSED,1834,-0.982287
PROPOSED,1836,-0.684547
PROPOSED,1840,0.951057
PROPOSED,1842,0.770513
PROPOSED,1846,-0.904827
PROPOSED,1847,-0.998027
PROPOSED,1853,0.998027
PROPOSED,1859,-0.982287
PROPOSED,1860,-0.951057
PROPOSED,1865,0.951057
PROPOSED,1866,0.982287
PROPOSED,1871,-0.904827
PROPOSED,1872,-0.998027
PROPOSED,1877,0.844328
PROPOSED,1879,0.904827
PROPOSED,1883,-0.770513
PROPOSED,1885,-0.951057
PROPOSED,1890,0.951057
PROPOSED,1892,0.770513
PROPOSED,1896,-0.904827
PROPOSED,1898,-0.844328
PROPOSED,1902,0.844328
PROPOSED,1903,0.998027
PROPOSED,1905,0.587785
PROPOSED,1908,-0.770513
PROPOSED,1910,-0.951057
PROPOSED,1915,0.951057
PROPOSED,1916,0.982287
PROPOSED,1921,-0.904827
PROPOSED,1923,-0.844328
PROPOSED,1927,0.844328
PROPOSED,1928,0.998027
PROPOSED,1934,-0.982287
PROPOSED,1935,-0.951057
PROPOSED,1940,0.951057
PROPOSED,1942,0.770513
PROPOSED,1946,-0.904827
PROPOSED,1948,-0.844328
PROPOSED,1952,0.844328
PROPOSED,1954,0.904827
PROPOSED,1959,-0.982287
PROPOSED,1961,-0.684547
PROPOSED,1964,0.684547
PROPOSED,1966,0.982287
PROPOSED,1971,-0.904827
PROPOSED,1973,-0.844328
PROPOSED,1977,0.844328
PROPOSED,1978,0.998027
PROPOSED,1984,-0.982287
PROPOSED,1985,-0.951057
PROPOSED,1990,0.951057
PROPOSED,1991,0.982287
PROPOSED,1996,-0.904827
PROPOSED,1997,-0.998027
PROPOSED,1998,-0.844328
PROPOSED,1999,-0.481754
RDP,0,0
RDP,2,0.844328
RDP,4,0.904827
RDP,8,-0.770513
RDP,9,-0.982287
RDP,11,-0.684547
RDP,14,0.684547
RDP,16,0.982287
RDP,17,0.770513
RDP,21,-0.904827
RDP,23,-0.844328
RDP,27,0.844328
RDP,29,0.904827
RDP,33,-0.770513
RDP,34,-0.982287
RDP,36,-0.684547
RDP,39,0.684547
RDP,41,0.982287
RDP,42,0.770513
RDP,46,-0.904827
RDP,48,-0.844328
RDP,52,0.844328
RDP,54,0.904827
RDP,58,-0.770513
RDP,59,-0.982287
RDP,61,-0.684547
RDP,64,0.684547
RDP,66,0.982287
RDP,67,0.770513
RDP,71,-0.904827
RDP,73,-0.844328
RDP,77,0.844328
RDP,79,0.904827
RDP,83,-0.770513
RDP,84,-0.982287
RDP,86,-0.684547
RDP,89,0.684547
RDP,91,0.982287
RDP,92,0.770513
RDP,96,-0.904827
RDP,98,-0.844328
RDP,102,0.844328
RDP,104,0.904827
RDP,108,-0.770513
RDP,109,-0.982287
RDP,111,-0.684547
RDP,114,0.684547
RDP,116,0.982287
RDP,117,0.770513
RDP,121,-0.904827
RDP,123,-0.844328
RDP,127,0.844328
RDP,129,0.904827
RDP,133,-0.770513
RDP,134,-0.982287
RDP,136,-0.684547
RDP,139,0.684547
RDP,141,0.982287
RDP,142,0.770513
RDP,146,-0.904827
RDP,148,-0.844328
RDP,152,0.844328
RDP,154,0.904827
RDP,158,-0.770513
RDP,159,-0.982287
RDP,161,-0.684547
RDP,164,0.684547
RDP,166,0.982287
RDP,167,0.770513
RDP,171,-0.904827
RDP,173,-0.844328
RDP,177,0.844328
RDP,179,0.904827
RDP,183,-0.770513
RDP,184,-0.982287
RDP,186,-0.684547
RDP,189,0.684547
RDP,191,0.982287
RDP,192,0.770513
RDP,196,-0.904827
RDP,198,-0.844328
RDP,202,0.844328
RDP,204,0.904827
RDP,208,-0.770513
RDP,209,-0.982287
RDP,211,-0.684547
RDP,214,0.684547
RDP,216,0.982287
RDP,217,0.770513
RDP,221,-0.904827
RDP,223,-0.844328
RDP,227,0.844328
RDP,229,0.904827
RDP,233,-0.770513
RDP,234,-0.982287
RDP,236,-0.684547
RDP,239,0.684547
RDP,241,0.982287
RDP,242,0.770513
RDP,246,-0.904827
RDP,248,-0.844328
RDP,252,0.844328
RDP,254,0.904827
RDP,258,-0.770513
RDP,259,-0.982287
RDP,261,-0.684547
RDP,264,0.684547
RDP,266,0.982287
RDP,267,0.770513
RDP,271,-0.904827
